status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,status_and_sex,secondary_obligor,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,n_guarantors,telephone,is_foreign_worker,target,credit_mix_score,installment_amount,age_bucket
< 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,>= 7 years,4,male : single,none,4,none,67,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.0298507458231232,194.83330086111653,65+
0 to < 200 DM,48,existing credits paid back duly till now,radio/television,5951,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,2,none,22,none,own,1,skilled employee/ official,1,none,yes,0,0.045454543388429844,123.97916408376742,<25
no checking account,12,critical account/ other credits existing (not at this bank),education,2096,< 100 DM,4 to < 7 years,2,male : single,none,3,none,49,none,own,1,unskilled - resident,2,none,yes,1,0.020408162848813003,174.66665211111234,45-55
< 0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,< 100 DM,4 to < 7 years,2,male : single,guarantor,4,car,45,none,for free,1,skilled employee/ official,2,none,yes,1,0.022222221728395074,187.6666621984128,35-45
< 0 DM,24,delay in paying off in the past,car (new),4870,< 100 DM,1 to < 4 years,3,male : single,none,4,savings agreement/life insurance,53,none,for free,2,skilled employee/ official,2,none,yes,0,0.03773584834460664,202.9166582118059,45-55
no checking account,36,existing credits paid back duly till now,education,9055,unknown/ no savings account,1 to < 4 years,2,male : single,none,4,savings agreement/life insurance,35,none,for free,1,unskilled - resident,2,"yes, registered under the customers name",yes,1,0.028571427755102068,251.52777079089526,25-35
no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 to < 1000 DM,>= 7 years,3,male : single,none,4,car,53,none,own,1,skilled employee/ official,1,none,yes,1,0.01886792417230332,118.1249950781252,45-55
0 to < 200 DM,36,existing credits paid back duly till now,car (used),6948,< 100 DM,1 to < 4 years,2,male : single,none,2,real estate,35,none,rent,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.028571427755102068,192.99999463888906,25-35
no checking account,12,existing credits paid back duly till now,radio/television,3059,>= 1000 DM,4 to < 7 years,2,male : divorced/separated,none,4,none,61,none,own,1,unskilled - resident,1,none,yes,1,0.016393442354205864,254.9166454236129,55-65
0 to < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),5234,< 100 DM,unemployed,4,male : married/widowed,none,2,real estate,28,none,own,2,management/ self-employed/highly qualified employee,1,none,yes,0,0.07142856887755111,174.4666608511113,25-35
0 to < 200 DM,12,existing credits paid back duly till now,car (new),1295,< 100 DM,< 1 year,3,female : divorced/separated/married,none,1,real estate,25,none,rent,1,skilled employee/ official,1,none,yes,0,0.03999999840000006,107.91665767361187,<25
< 0 DM,48,existing credits paid back duly till now,business,4308,< 100 DM,< 1 year,3,female : divorced/separated/married,none,4,car,24,none,rent,1,skilled employee/ official,1,none,yes,0,0.041666664930555625,89.74999813020838,<25
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,1567,< 100 DM,1 to < 4 years,1,female : divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.045454543388429844,130.5833224513898,<25
< 0 DM,24,critical account/ other credits existing (not at this bank),car (new),1199,< 100 DM,>= 7 years,4,male : single,none,4,real estate,60,none,own,2,unskilled - resident,1,none,yes,0,0.03333333277777779,49.9583312517362,55-65
< 0 DM,15,existing credits paid back duly till now,car (new),1403,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,4,real estate,28,none,rent,1,skilled employee/ official,1,none,yes,1,0.035714284438775556,93.5333270977782,25-35
